Capítulo;Título no DOCX;Título no EPUB;Comparação
65;Ressurreição da Espada Demoníaca;O Ressurgimento da Espada Demoníaca;DIFERENTE
66;Voltando ao palácio;Retornando ao Palácio;DIFERENTE
67;Salve sua vida primeiro;Salve Sua Vida Primeiro;IGUAL
68;Isolamento;Reclusão;DIFERENTE
69;Véspera de Ano-Novo;Véspera de Ano Novo;IGUAL
70;Indo para o Sul;Capítulo Setenta Rumo ao Sul;DIFERENTE
71;Não ver;Desaparecimento;DIFERENTE
72;Retorno;A Viagem de Retorno;DIFERENTE
73;Infância;Infância;IGUAL
74;Façamos um acordo;Fazendo um Acordo;DIFERENTE
75;Velho amigo;Velhos Amigos;DIFERENTE
76;Indo juntos;Rumo Juntos;DIFERENTE
77;Bai Xiang;O Reino do Elefante Branco;DIFERENTE
78;Encontrei um conhecido;Encontrando um Conhecido;DIFERENTE
79;Dois jovens mestres de Jian;Os Dois Jovens Mestres da Seita da Espada;DIFERENTE
80;Xingzhou;Capítulo Oitenta Singapura;DIFERENTE
81;Visitante;O Convidado;DIFERENTE
82;Formação Familiar;Formação Familiar;IGUAL
83;Perseguição;A Perseguição;DIFERENTE
84;Corvo Negro;Corvo Negro;IGUAL
85;Encontro;Reencontro;DIFERENTE
86;Pico das Nuvens no Ermo;Pico da Nuvem Selvagem;DIFERENTE
87;Grande Navio;O Grande Navio;DIFERENTE
88;Não fale bobagens;Não fale bobagens;IGUAL
89;O que é a Areia do Astro Celestial?;O que é Areia Celestial?;DIFERENTE
90;Voltando como queria;Retornar para casa como um desejo;DIFERENTE
91;O Rei do Sudoeste está de volta;O Rei do Sudoeste se Rebela Novamente;DIFERENTE
92;Rei Duan precisa tomar cuidado;O Rei Duan deve ter cuidado com esta pessoa.;DIFERENTE
93;San Chilang;Aniversário];DIFERENTE
94;Pavilhão Tian Ying;Ondas de Três Pés;DIFERENTE
95;Pingente de dragão de jade;Pavilhão da Águia Celeste;DIFERENTE
96;Véspera da Grande Guerra;Jade do Dragão Roxo;DIFERENTE
97;Rebelião em Suizhou;96 - Na véspera da Grande Guerra;DIFERENTE
98;A caverna;Caos em Suizhou;DIFERENTE
99;Vitória na primeira batalha;A Caverna;DIFERENTE
100;;Vitória Inicial;DIFERENTE
101;Noite tranquila;O Verdadeiro e o Falso Rei do Sudoeste;DIFERENTE
102;Clã Rabo de Peixe;A Noite Está Silenciosa;DIFERENTE
103;Pense pelo lado bom;O Clã da Cauda de Peixe;DIFERENTE
104;Voltando com a grande vitória;Tente Pensar de Forma Mais Positiva;DIFERENTE
105;Duas flores desabrocham;Uma Grande Vitória;DIFERENTE
106;Mercado noturno da Cidade Imperial;Duas Flores Desabrocham;DIFERENTE
107;O visitante de Bai Xiang;Mercado Noturno da Cidade Real;DIFERENTE
108;Jin Shu;Visitantes do Reino do Elefante Branco;DIFERENTE
109;Liushang Jiange;Jin Shu;DIFERENTE
110;Encontro das Vestes de Penas;Pavilhão da Espada Liushang;DIFERENTE
111;Du Wu;O Encontro do Manto de Penas;DIFERENTE
112;Estratagema;Veneno Cinco;DIFERENTE
113;Grande monge;Esquema;DIFERENTE
114;O interrogatório;O Grande Monge;DIFERENTE
115;Competição de artes marciais;Interrogatório;DIFERENTE
116;Encontro;Competição de Artes Marciais;DIFERENTE
117;Entrando juntos no palácio;Encontro;DIFERENTE
118;Quando será o casamento?;Entrando juntos no palácio;DIFERENTE
119;Velho palácio;Quando eles vão se casar?;DIFERENTE
120;Indo para o Sul;O Palácio Antigo;DIFERENTE
121;Disfarçado;Rumo ao Sul;DIFERENTE
122;Alguém bloqueou a estrada;**Manequim**;DIFERENTE
123;Palácio do Sudoeste;Alguém o deteve;DIFERENTE
124;Situação;Prefeitura do Sudoeste;DIFERENTE
125;Voando pelos céus e caminhando pela terra;A Situação;DIFERENTE
126;O melhor do show;Voando e Escapando;DIFERENTE
127;Ma Liu;O Espetáculo;DIFERENTE
128;Acidentalmente;Ma Liu;DIFERENTE
129;Expedição;Um Encontro Fortuito;DIFERENTE
130;Dois Carecas;A Expedição;DIFERENTE
131;Miaoxin;Dois Homens Carecas;DIFERENTE
132;Levado;Coração Maravilhoso;DIFERENTE
133;Se não gosta, então não goste;Prendendo Pessoas;DIFERENTE
134;O que quer fazer?;Se você não gosta, então você não gosta.;DIFERENTE
135;Mudança repentina;O que você quer fazer?;DIFERENTE
136;Pesadelo;Mutação;DIFERENTE
137;Consequências;Pesadelo;DIFERENTE
138;Aniversário;Consequências;DIFERENTE
139;Yue Luo;Aniversário;DIFERENTE
140;Verdade oculta;A Lua se Põe;DIFERENTE
141;Divisão;A História Oculta;DIFERENTE
142;Tartaruga gigante;Semeando a Discórdia;DIFERENTE
143;Quebrando a formação;Tartaruga Gigante;DIFERENTE
144;Miragem;Quebrando a Formação;DIFERENTE
145;Névoa venenosa;Miragem;DIFERENTE
146;O que aconteceu?;Névoa Venenosa;DIFERENTE
147;Confronto;O que está acontecendo?;DIFERENTE
148;Cardume;Confronto;DIFERENTE
149;Cordialidade;Cardume de Peixes;DIFERENTE
150;Xiao Jinzi;Calor;DIFERENTE
151;Som maligno;Ouro;DIFERENTE
152;Destino;Som Demoníaco;DIFERENTE
153;Novo confronto;Destino;DIFERENTE
154;Reviravolta;[520 Capítulo Extra] Juventude;DIFERENTE
155;;Outro Confronto;AUSENTE_NO_DOCX
156;;Mudanças Inesperadas;AUSENTE_NO_DOCX
157;;À Beira do Céu;AUSENTE_NO_DOCX
158;;Melhor levá-los para a guerra;AUSENTE_NO_DOCX
159;;Encontrando;AUSENTE_NO_DOCX
160;;Reencontro;AUSENTE_NO_DOCX
161;;Amantes;AUSENTE_NO_DOCX
162;;Segredos Ocultos na Ilha Deserta;AUSENTE_NO_DOCX
163;;Ternura;AUSENTE_NO_DOCX
164;;Mestre;AUSENTE_NO_DOCX
165;;Qual é exatamente a utilidade das contas?;AUSENTE_NO_DOCX
166;;O Exército Marcha para a Batalha;AUSENTE_NO_DOCX
167;;Sons Estranhos;AUSENTE_NO_DOCX
168;;Melhor Pedir Demissão;AUSENTE_NO_DOCX
169;;Ataque à Ilha;AUSENTE_NO_DOCX
170;;Vitória;AUSENTE_NO_DOCX
171;;Ganho Inesperado;AUSENTE_NO_DOCX
172;;A chamada celebração universal;AUSENTE_NO_DOCX
173;;Olá, Mestre;AUSENTE_NO_DOCX
174;;Deixando o Espelho;AUSENTE_NO_DOCX
175;;Zumbis;AUSENTE_NO_DOCX
176;;Mistério;AUSENTE_NO_DOCX
177;;O Caixão de Gelo;AUSENTE_NO_DOCX
178;;O Fantoche;AUSENTE_NO_DOCX
179;;A Batalha Final (Parte 1);AUSENTE_NO_DOCX
180;;A Batalha Final (Parte 2);AUSENTE_NO_DOCX
181;;A Batalha Final (Parte 2);AUSENTE_NO_DOCX
182;;Um Encontro Fortuito;AUSENTE_NO_DOCX
183;;A Viagem de Retorno;AUSENTE_NO_DOCX
184;;Retornando para casa;AUSENTE_NO_DOCX
185;;O Casamento;AUSENTE_NO_DOCX
186;;Os Recém-Casados;AUSENTE_NO_DOCX
187;;Retornando ao Palácio;AUSENTE_NO_DOCX
188;;Depois do Casamento;AUSENTE_NO_DOCX
189;;Ano Novo;AUSENTE_NO_DOCX
190;;O Rei Absoluto dos Sete Está Chegando;AUSENTE_NO_DOCX
191;;Mestre;AUSENTE_NO_DOCX
192;;Celebração Universal;AUSENTE_NO_DOCX
193;;Paraíso;AUSENTE_NO_DOCX
194;;Encontro das Borboletas - Parte 1;AUSENTE_NO_DOCX
195;;História Paralela - Encontro com a Borboleta 2;AUSENTE_NO_DOCX
196;;História Paralela - Encontro com a Borboleta 3;AUSENTE_NO_DOCX
197;;História Paralela - Encontro com a Borboleta 4;AUSENTE_NO_DOCX
198;;História Paralela - Encontro com a Borboleta 5;AUSENTE_NO_DOCX
199;;História Paralela - Competição de Artes Marciais (Parte 1);AUSENTE_NO_DOCX
200;;História Paralela: Competição de Artes Marciais (Parte 2);AUSENTE_NO_DOCX
201;;Vida extra-cotidiana na Prefeitura do Sudoeste;AUSENTE_NO_DOCX
Capítulo Extra de Ano-Novo;Aniversário;;AUSENTE_NO_EPUB
Capítulo Extra de 20 de maio;;;AUSENTE_NO_EPUB
